model,seed,feature,perturbation,original_pooled_mae,original_patient_mae,original_rmse,original_bis_below_40_mae,original_bis_40_to_60_mae,original_bis_above_60_mae,perturbed_pooled_mae,perturbed_patient_mae,perturbed_rmse,perturbed_bis_below_40_mae,perturbed_bis_40_to_60_mae,perturbed_bis_above_60_mae,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,contribution_rank
gru,21,bis,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,7.403287444040241,8.548654556274414,9.913874350848532,9.187211036682129,4.4073405265808105,22.239913940429688,4.144904520187262,5.114026069641113,5.4084357736267705,6.257188558578491,1.1726949214935303,17.3108229637146,1.0
gru,21,bis_sqi,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.3298461028339856,3.524315118789673,4.5798558471227775,2.9150145053863525,3.3410370349884033,5.125396728515625,0.07146317898100651,0.08968663215637207,0.07441726990101571,-0.015007972717285156,0.10639142990112305,0.1963057518005371,8.0
gru,21,hr,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.382708328964425,3.5500335693359375,4.618558478480064,2.8584468364715576,3.4838435649871826,4.986208915710449,0.12432540511144596,0.11540508270263672,0.11311990125830196,-0.07157564163208008,0.24919795989990234,0.05711793899536133,7.0
gru,21,mbp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.517526833016711,3.7057480812072754,4.732289356167439,2.9779787063598633,3.598400115966797,5.345402717590332,0.25914390916373176,0.2711195945739746,0.2268507789456775,0.047956228256225586,0.3637545108795166,0.41631174087524414,2.0
gru,21,sbp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.263866290896134,3.4382550716400146,4.516768581410287,2.9525341987609863,3.255499839782715,4.739730358123779,0.005483367043154885,0.003626585006713867,0.011330004188525145,0.022511720657348633,0.02085423469543457,-0.1893606185913086,15.0
gru,21,dbp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.2261157288267546,3.4020540714263916,4.4782525827261175,3.0635080337524414,3.130481481552124,4.69535493850708,-0.03226719502622455,-0.03257441520690918,-0.027185994495644294,0.1334855556488037,-0.10416412353515625,-0.2337360382080078,17.0
gru,21,spo2,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.3511426460856297,3.518244743347168,4.593414230417431,2.972414255142212,3.3850581645965576,4.809074878692627,0.09275972223265061,0.08361625671386719,0.08797565319566925,0.04239177703857422,0.15041255950927734,-0.12001609802246094,9.0
gru,21,etco2,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.2713880781864866,3.4533658027648926,4.521693373942465,3.004369020462036,3.2196736335754395,4.878017425537109,0.013005154333507463,0.018737316131591797,0.016254796720703624,0.07434654235839844,-0.01497197151184082,-0.051073551177978516,13.0
gru,21,ppf_rate,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.2892979199736034,3.477267265319824,4.541174538385519,3.051903009414673,3.2462291717529297,4.695427417755127,0.030914996120624316,0.04263877868652344,0.035735961163757324,0.12188053131103516,0.011583566665649414,-0.23366355895996094,11.0
gru,21,ppf_volume,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.4003744841825374,3.5737080574035645,4.636512305606697,3.0077192783355713,3.4203684329986572,5.027993679046631,0.1419915603295583,0.13907957077026367,0.13107372838493525,0.0776968002319336,0.18572282791137695,0.09890270233154297,6.0
