model,seed,group,member_features,repetition,permutation,all_multiwindow_patient_shifts_nonzero,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,seed_group_mean_delta_patient_mae,seed_group_sample_sd_delta_patient_mae,seed_group_minimum_delta_patient_mae,seed_group_maximum_delta_patient_mae,contribution_rank
gru,7,hemodynamic,"hr,mbp,sbp,dbp",9,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.0018936053787768081,0.01730036735534668,-0.0016556157237017644,0.025988340377807617,-0.0066492557525634766,-0.041997432708740234,0.0135145902633667,0.012445037259186234,-0.0028460025787353516,0.030256032943725586,4.0
gru,7,respiratory,"spo2,etco2",0,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.006548732417698044,0.005658864974975586,0.019255227256232743,0.0253298282623291,-0.0035219192504882812,-0.0015549659729003906,0.003952479362487793,0.0055038979396416455,-0.004984378814697266,0.015734195709228516,6.0
gru,7,respiratory,"spo2,etco2",1,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.001514665536693549,0.001007080078125,-8.58732688620023e-05,-0.014017343521118164,0.007427692413330078,-0.013248920440673828,0.003952479362487793,0.0055038979396416455,-0.004984378814697266,0.015734195709228516,6.0
gru,7,respiratory,"spo2,etco2",2,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.015407592817320737,0.015734195709228516,0.019013002224509634,-0.006964206695556641,0.03746843338012695,-0.051959991455078125,0.003952479362487793,0.0055038979396416455,-0.004984378814697266,0.015734195709228516,6.0
gru,7,respiratory,"spo2,etco2",3,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.020309759230243696,0.006737470626831055,0.05546284865032547,0.054099082946777344,0.0069277286529541016,-0.03051280975341797,0.003952479362487793,0.0055038979396416455,-0.004984378814697266,0.015734195709228516,6.0
gru,7,respiratory,"spo2,etco2",4,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.014209922623054982,0.002311229705810547,0.030923321669235726,0.04324531555175781,7.390975952148438e-05,-0.00928640365600586,0.003952479362487793,0.0055038979396416455,-0.004984378814697266,0.015734195709228516,6.0
gru,7,respiratory,"spo2,etco2",5,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.006286363392344008,0.004709005355834961,0.010178818214908958,0.002351045608520508,0.006699562072753906,0.02097034454345703,0.003952479362487793,0.0055038979396416455,-0.004984378814697266,0.015734195709228516,6.0
gru,7,respiratory,"spo2,etco2",6,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.004686463955268838,-0.0004215240478515625,0.004040410668942229,0.024290800094604492,-0.00976872444152832,0.026401042938232422,0.003952479362487793,0.0055038979396416455,-0.004984378814697266,0.015734195709228516,6.0
gru,7,respiratory,"spo2,etco2",7,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.010446726233344084,0.001953125,0.021281205142531512,0.027340412139892578,0.00308990478515625,-0.009865760803222656,0.003952479362487793,0.0055038979396416455,-0.004984378814697266,0.015734195709228516,6.0
gru,7,respiratory,"spo2,etco2",8,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.012506010331154727,0.006819725036621094,0.02300457065627004,0.020153522491455078,0.004599332809448242,0.038332462310791016,0.003952479362487793,0.0055038979396416455,-0.004984378814697266,0.015734195709228516,6.0
gru,7,respiratory,"spo2,etco2",9,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.004355585761215419,-0.004984378814697266,0.005018186563815696,0.010567665100097656,-0.014177083969116211,0.0031299591064453125,0.003952479362487793,0.0055038979396416455,-0.004984378814697266,0.015734195709228516,6.0
attention,7,current_bis,bis,0,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,5.4069887898536155,6.821861505508423,7.6266203456826585,5.769205570220947,3.8316986560821533,15.819267272949219,6.488062715530395,0.8113542087812279,5.171983957290649,7.744221925735474,1.0
attention,7,current_bis,bis,1,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,6.148869850305566,7.744221925735474,8.453565101193814,5.794569492340088,4.765492677688599,18.341825485229492,6.488062715530395,0.8113542087812279,5.171983957290649,7.744221925735474,1.0
attention,7,current_bis,bis,2,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,6.037255976762356,7.490885972976685,8.23666704525243,5.4965949058532715,4.7699010372161865,18.187471389770508,6.488062715530395,0.8113542087812279,5.171983957290649,7.744221925735474,1.0
attention,7,current_bis,bis,3,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,5.967916152471387,7.0925209522247314,8.167809466520744,5.68897008895874,4.611804246902466,17.61050796508789,6.488062715530395,0.8113542087812279,5.171983957290649,7.744221925735474,1.0
attention,7,current_bis,bis,4,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,5.96301156330702,6.391823053359985,8.060642542802274,5.850010395050049,4.510028600692749,17.594371795654297,6.488062715530395,0.8113542087812279,5.171983957290649,7.744221925735474,1.0
attention,7,current_bis,bis,5,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,4.634905597164201,5.171983957290649,6.70301348641795,4.685648441314697,3.519000291824341,12.944236755371094,6.488062715530395,0.8113542087812279,5.171983957290649,7.744221925735474,1.0
attention,7,current_bis,bis,6,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,5.562972831479792,5.915394067764282,7.563983064131101,5.584264278411865,4.178401231765747,16.061817169189453,6.488062715530395,0.8113542087812279,5.171983957290649,7.744221925735474,1.0
attention,7,current_bis,bis,7,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,5.554390851090332,5.637343645095825,7.647998340599729,5.749292850494385,4.261815786361694,14.561946868896484,6.488062715530395,0.8113542087812279,5.171983957290649,7.744221925735474,1.0
attention,7,current_bis,bis,8,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,6.031585318561675,6.25285267829895,7.906289374595682,6.290902614593506,4.642223596572876,15.487682342529297,6.488062715530395,0.8113542087812279,5.171983957290649,7.744221925735474,1.0
attention,7,current_bis,bis,9,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,5.74181630362618,6.36173939704895,7.7469730982237515,6.377285480499268,4.178811311721802,14.820930480957031,6.488062715530395,0.8113542087812279,5.171983957290649,7.744221925735474,1.0
attention,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",0,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,1.1547530588629229e-05,-0.0006229877471923828,-0.0002687362327336018,-7.796287536621094e-05,0.00022983551025390625,-0.0012507438659667969,-0.0003046989440917969,0.00023773516617369878,-0.0006229877471923828,0.00013327598571777344,5.0
attention,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",1,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,3.962466968365774e-05,-0.00024962425231933594,-8.774210056206044e-05,-3.8623809814453125e-05,0.00023508071899414062,-0.0011010169982910156,-0.0003046989440917969,0.00023773516617369878,-0.0006229877471923828,0.00013327598571777344,5.0
