model,seed,group,member_features,perturbation,original_pooled_mae,original_patient_mae,original_rmse,original_bis_below_40_mae,original_bis_40_to_60_mae,original_bis_above_60_mae,perturbed_pooled_mae,perturbed_patient_mae,perturbed_rmse,perturbed_bis_below_40_mae,perturbed_bis_40_to_60_mae,perturbed_bis_above_60_mae,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,contribution_rank
gru,42,current_bis,bis,group_unavailable_value_zero_mask_zero_all_six_steps,3.2224547062307503,3.3988022804260254,4.494125874819794,2.9762415885925293,3.123408555984497,5.0969390869140625,7.193677494511636,8.322159767150879,9.799584634099832,8.475932121276855,4.437678813934326,22.46908950805664,3.971222788280886,4.9233574867248535,5.305458759280038,5.499690532684326,1.314270257949829,17.372150421142578,1.0
gru,42,bis_quality_and_dynamics,"bis_sqi,bis_slope",group_unavailable_value_zero_mask_zero_all_six_steps,3.2224547062307503,3.3988022804260254,4.494125874819794,2.9762415885925293,3.123408555984497,5.0969390869140625,3.5833860893934624,3.6741762161254883,4.823632493845967,3.0847983360290527,3.665220022201538,5.218167304992676,0.3609313831627121,0.2753739356994629,0.32950661902617284,0.10855674743652344,0.541811466217041,0.12122821807861328,2.0
gru,42,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.2224547062307503,3.3988022804260254,4.494125874819794,2.9762415885925293,3.123408555984497,5.0969390869140625,3.2926407693235342,3.5014736652374268,4.605925250428996,3.11895489692688,3.222476005554199,4.617211818695068,0.07018606309278397,0.10267138481140137,0.11179937560920195,0.14271330833435059,0.09906744956970215,-0.47972726821899414,4.0
gru,42,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.2224547062307503,3.3988022804260254,4.494125874819794,2.9762415885925293,3.123408555984497,5.0969390869140625,3.298206263968804,3.4782280921936035,4.584289570095507,3.242321252822876,3.1413776874542236,4.751762866973877,0.07575155773805387,0.07942581176757812,0.090163695275713,0.2660796642303467,0.017969131469726562,-0.34517621994018555,6.0
gru,42,hemodynamic,"hr,mbp,sbp,dbp",group_unavailable_value_zero_mask_zero_all_six_steps,3.2224547062307503,3.3988022804260254,4.494125874819794,2.9762415885925293,3.123408555984497,5.0969390869140625,3.3746905100151103,3.57965087890625,4.675330191745751,3.113668918609619,3.359468936920166,4.674863338470459,0.15223580378436008,0.1808485984802246,0.18120431692595673,0.13742733001708984,0.23606038093566895,-0.4220757484436035,3.0
gru,42,respiratory,"spo2,etco2",group_unavailable_value_zero_mask_zero_all_six_steps,3.2224547062307503,3.3988022804260254,4.494125874819794,2.9762415885925293,3.123408555984497,5.0969390869140625,3.291416086939554,3.4792747497558594,4.550051055863693,3.0219521522521973,3.27754282951355,4.619553089141846,0.06896138070880387,0.08047246932983398,0.05592518104389921,0.04571056365966797,0.15413427352905273,-0.4773859977722168,5.0
attention,42,current_bis,bis,group_unavailable_value_zero_mask_zero_all_six_steps,3.193588376730901,3.382908344268799,4.447197355877532,3.0289158821105957,3.1168906688690186,4.527275085449219,38.639825718392316,38.82036590576172,39.9894492940238,29.219806671142578,41.085323333740234,62.643898010253906,35.446237341661416,35.43745756149292,35.542251938146265,26.190890789031982,37.968432664871216,58.11662292480469,1.0
attention,42,bis_quality_and_dynamics,"bis_sqi,bis_slope",group_unavailable_value_zero_mask_zero_all_six_steps,3.193588376730901,3.382908344268799,4.447197355877532,3.0289158821105957,3.1168906688690186,4.527275085449219,3.219988631284185,3.3939707279205322,4.459720656966113,3.2331042289733887,3.0632922649383545,4.359625339508057,0.02640025455328443,0.011062383651733398,0.012523301088581462,0.20418834686279297,-0.05359840393066406,-0.1676497459411621,6.0
attention,42,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.193588376730901,3.382908344268799,4.447197355877532,3.0289158821105957,3.1168906688690186,4.527275085449219,4.2279439777929975,4.4116363525390625,5.404357051018127,4.754371166229248,3.8882405757904053,4.440260410308838,1.0343556010620967,1.0287280082702637,0.9571596951405947,1.7254552841186523,0.7713499069213867,-0.08701467514038086,2.0
attention,42,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.193588376730901,3.382908344268799,4.447197355877532,3.0289158821105957,3.1168906688690186,4.527275085449219,3.40075833658361,3.5654706954956055,4.63503868470234,3.593235969543457,3.187523365020752,4.159679889678955,0.20716995985270925,0.18256235122680664,0.18784132882480797,0.5643200874328613,0.0706326961517334,-0.36759519577026367,3.0
